state_prov,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,total
Alabama,0,0,0,1,0,0,2,1,1,2,7
Arkansas,0,0,0,0,0,0,0,1,1,1,3
Kansas,0,1,0,0,0,0,0,0,0,0,1
Kentucky,1,3,5,3,1,3,2,2,3,1,24
Michigan,0,0,1,0,0,0,0,0,0,0,1
Minnesota,0,0,1,0,1,0,1,0,0,0,3
New York,2,0,1,0,0,0,0,0,0,0,3
North Carolina,1,4,0,2,1,0,3,0,3,2,16
Ohio,0,1,2,2,0,1,0,0,0,0,6
Oregon,0,1,0,0,0,1,1,1,2,0,6
Pennsylvania,0,0,0,0,0,1,0,0,1,0,2
Rhode Island,0,1,0,0,0,0,0,0,0,0,1
Tennessee,4,1,1,2,2,3,1,4,0,3,21
Virginia,0,0,0,0,0,1,0,0,0,0,1
Washington,0,0,0,1,0,0,0,0,0,1,2
Wisconsin,2,0,0,1,1,0,0,2,3,1,10
